Database Name	operetta
Database Link	http://10.45.1.197/ODA/OdaService.asmx
Evaluation Signature	2a5914c5-2b8b-4932-84dc-6bf33d939942
Plate Name	NADguanosineplate
Measurement	Measurement 1
Evaluation	Evaluation2
Population	Population - full nuclei

[Data]
Row	Column	Plane	Timepoint	Field	Object No	X	Y	Bounding Box	Position X [µm]	Position Y [µm]	Compound	Concentration	Cell Type	Cell Count	full nuclei - Object No in nuclei	full nuclei - Total Spot Area	full nuclei - Relative Spot Intensity	full nuclei - Number of Spots	full nuclei - Number of Spots per Area of Nucleus	full nuclei - Intensity Nucleus Alexa 488 Mean	full nuclei -  Area [µm²]	full nuclei -  Roundness	full nuclei -  Width [µm]	full nuclei -  Length [µm]	full nuclei -  Ratio Width to Length	full nuclei - Number of Spots H2AX- per Cell 	
2	2	1	0	10	1	407	853	[374,831,434,875]	928.73	1198.39					1	664	0.0350342	14	0.00699301	3853.94	177.503	0.903046	11.7305	17.9869	0.652167	14	
2	2	1	0	10	2	864	436	[827,400,889,463]	1064.23	1323.53					2	938	0.0286445	36	0.0143885	2643.94	221.834	0.861521	13.4357	23.6154	0.568936	36	
2	2	1	0	10	3	289	818	[245,791,317,850]	891.75	1208.11					4	255	0.0276879	7	0.00224647	3616.98	276.273	0.898515	14.5995	23.4912	0.621488	7	
2	2	1	0	10	4	478	988	[453,966,502,1011]	950.22	1157.78					5	147	0.0253242	3	0.00174014	3603.71	152.854	0.93708	12.619	14.6177	0.863266	3	
2	2	1	0	10	5	401	1002	[372,978,425,1028]	926.58	1153.31					6	729	0.0379041	26	0.0143093	2298.03	161.1	0.958064	10.9809	17.4871	0.627947	26	
2	2	1	0	11	1	883	743	[861,719,910,789]	1394.8	1229.01					1	540	0.0514711	27	0.0127119	5897.9	188.319	0.726831	10.5527	20.8965	0.505	27	
2	2	1	0	11	2	934	765	[895,746,963,789]	1408.42	1223.45					2	436	0.0368947	24	0.0126917	4587.93	167.661	0.712414	10.7195	20.8008	0.515339	24	
2	2	1	0	11	3	1031	875	[1002,854,1054,895]	1437.56	1192.05					3	135	0.11684	4	0.00235156	4096.34	150.815	0.907626	11.1889	15.7477	0.710512	4	
2	2	1	0	11	4	933	603	[904,579,967,630]	1409.36	1272.25					4	478	0.0235081	24	0.0128824	5901.88	165.179	0.872554	10.4174	19.7738	0.526831	24	
2	2	1	0	11	5	1045	704	[1017,681,1072,727]	1441.91	1242.17					5	97	0.00715315	4	0.00206186	3048.5	172.006	0.963701	12.7309	16.4202	0.775318	4	
