Database Name	operetta
Database Link	http://10.45.1.197/ODA/OdaService.asmx
Evaluation Signature	7565033a-ea03-4f4b-8fc5-eb1516bb4f87
Plate Name	rech2ax53bp1270224
Measurement	Measurement 1
Evaluation	Evaluation5
Population	Population - Nuclei Selected

[Data]
Row	Column	Timepoint	Field	Object No	X	Y	Bounding Box	Position X [µm]	Position Y [µm]	Compound	Concentration	Cell Type	Cell Count	Nuclei Selected - Object No in Nuclei	Nuclei Selected - Nucleus Area [µm²]	Nuclei Selected - Nucleus Roundness	Nuclei Selected - Nucleus Ratio Width to Length	Nuclei Selected - Intensity Nucleus Alexa 488 Mean	Nuclei Selected - Intensity Nucleus DAPI Mean	Nuclei Selected - Intensity Ring Region DAPI Mean	Nuclei Selected - Total Spot Area	Nuclei Selected - Relative Spot Intensity	Nuclei Selected - Number of Spots	Nuclei Selected - Number of Spots per Area of Nucleus	Nuclei Selected - Total Spot Area (2)	Nuclei Selected - Relative Spot Intensity (2)	Nuclei Selected - Number of Spots (2)	Nuclei Selected - Number of Spots per Area of Nucleus (2)	
5	2	0	40	11	788	446	[749,416,835,477]	-157.58	-392.58					16	148.123	0.967533	0.685071	1652.29	8819.2	2005.24	156	0.00132163	5	0.00119503	741	0.017364	23	0.00549713	
5	2	0	40	12	1020	456	[970,430,1052,483]	-116.04	-394.66					17	120.439	0.923439	0.601539	1431.85	5470.73	1111.52	206	0.00968997	7	0.00205761	112	0.00830892	4	0.00117578	
5	2	0	40	13	565	478	[542,441,588,507]	-200.31	-397.89					18	88.8952	0.958471	0.667045	1550.21	5157.71	1273.2	459	0.0142808	19	0.00756671	416	0.0127958	18	0.00716846	
5	2	0	40	14	52	563	[19,525,87,620]	-296.43	-416.14					19	182.711	0.926782	0.666811	2067.67	6126.24	1203.25	1155	0.0189225	35	0.00678163	1252	0.0216732	45	0.00871924	
5	2	0	40	15	115	607	[81,553,149,664]	-284.64	-423.2					21	201.05	0.90366	0.560226	2103.97	5696.91	1637.02	359	0.0053356	10	0.00176087	306	0.00549444	10	0.00176087	
5	2	0	40	16	671	640	[643,597,699,676]	-180.34	-428.32					22	123.412	0.835992	0.658277	1763.38	4651.83	2016.94	0	0	0	0	0	0	0	0	
5	2	0	40	17	605	653	[565,624,646,682]	-192.74	-431.26					23	122.881	0.903363	0.654041	1975.95	6195.58	1736.49	147	0.010023	2	0.000576203	146	0.0133744	4	0.00115241	
5	2	0	40	18	952	701	[906,639,1021,735]	-125.19	-438.08					24	235.532	0.824574	0.449912	1867.96	6718.13	1208.06	350	0.01343	12	0.0018037	371	0.00721972	13	0.00195401	
5	2	0	40	19	762	680	[731,642,794,721]	-163.03	-436.88					25	138.14	0.981661	0.744033	1585.5	5004.88	1163.49	319	0.0443408	10	0.00256279	275	0.0183252	8	0.00205023	
5	2	0	40	20	189	747	[161,713,220,789]	-270.82	-449.78					26	123.165	0.945967	0.695386	1961.2	7630.4	2781.12	145	0.00317432	3	0.000862317	108	0.0024546	3	0.000862317	
5	2	0	40	21	603	741	[575,713,631,784]	-193.16	-449.14					27	112.367	0.987269	0.744138	1449.59	6199.15	1287.81	368	0.0182827	13	0.00409578	363	0.00996249	12	0.00378072	
5	2	0	40	22	53	769	[28,722,78,798]	-296.14	-451.92					28	102.277	0.918643	0.592158	1961.93	6672.69	1513.41	326	0.0389395	8	0.00276912	117	0.00718634	3	0.00103842	
5	2	0	40	23	355	815	[328,779,382,855]	-239.86	-462.4					29	117.359	0.947256	0.687679	1672.02	6277.91	1644.73	115	0.0259604	2	0.000603318	322	0.035522	6	0.00180995	
5	2	0	40	24	146	832	[105,796,191,871]	-278.54	-465.17					30	163.346	0.861489	0.587316	1768.09	4861.41	2022	0	0	0	0	0	0	0	0	
